Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-11-11,West,13.08,25.25,14.67,28.71,9.25,0.66,51.58
2016-11-12,West,9.92,20.58,34.04,20.5,5.96,0.48,41.25
2016-11-13,West,10.96,21.88,35.25,20.42,10.17,0.41,45.29
2016-11-14,West,8.88,17.96,18.67,19.71,15.42,0.35,37.46
2016-11-15,West,8.17,18.83,28.62,15.96,4.71,0.45,33.71
2016-11-16,West,9.74,23.09,23.3,25.74,6.91,0.49,40.7
2016-11-17,West,9.54,20.08,25.04,20.92,10.04,0.5,39.29
2016-11-18,West,11.58,23.58,31.62,31.79,7.96,0.62,47.5
2016-11-19,West,17.74,32.13,25.3,40.3,19.17,0.8,57.35
2016-11-20,West,24.21,37.96,34.96,28.62,29.0,1.31,64.75
2016-11-21,West,14.88,25.46,34.88,9.62,16.96,1.25,52.12
2016-11-22,West,20.46,31.33,12.79,20.25,12.12,0.59,60.5
2016-11-23,West,8.96,17.12,19.38,25.67,20.21,0.58,37.33
2016-11-24,West,8.12,17.12,23.92,21.71,30.21,0.72,34.0
2016-11-25,West,10.25,21.21,39.62,25.08,11.33,0.74,42.88
2016-11-26,West,11.33,22.21,27.79,19.38,11.38,0.71,47.42
2016-11-27,West,7.75,16.08,29.21,13.71,3.5,0.48,32.38
2016-11-28,West,5.04,11.62,32.92,12.58,3.0,0.29,21.75
2016-11-29,West,5.5,12.96,26.5,11.71,3.0,0.46,22.79
2016-11-30,West,5.41,13.55,32.41,9.68,3.5,0.39,23.09
2016-12-01,West,5.22,14.87,36.22,15.7,4.7,0.29,21.52
2016-12-02,West,5.22,13.87,41.0,11.17,6.04,0.41,22.17
2016-12-03,West,6.3,15.83,40.48,19.52,10.7,0.56,25.96
2016-12-04,West,14.25,27.75,31.62,39.92,22.33,0.63,51.58
2016-12-05,West,10.67,21.9,30.81,25.57,17.1,0.65,43.81
2016-12-06,West,11.61,24.78,36.65,26.0,13.0,0.61,46.61
2016-12-07,West,9.4,22.4,42.7,15.35,9.35,0.63,39.45
2016-12-08,West,10.55,21.85,42.95,16.75,5.0,1.13,41.5
2016-12-09,West,12.85,21.8,36.9,20.45,4.5,0.72,51.1
2016-12-10,West,11.09,22.17,25.61,14.39,2.74,0.67,43.09
2016-12-11,West,14.17,26.48,28.35,10.43,2.91,0.56,53.39
2016-12-12,West,10.89,20.79,37.79,13.74,2.32,0.57,44.89
2016-12-13,West,12.57,23.04,60.43,11.78,3.96,0.63,48.22
2016-12-14,West,13.41,24.73,46.5,21.45,4.5,0.65,52.36
2016-12-15,West,13.8,27.35,43.8,20.7,4.95,0.74,52.95
2016-12-16,West,21.52,37.43,53.61,25.87,5.13,0.6,61.48
2016-12-17,West,17.0,30.21,43.16,23.16,3.95,0.47,56.32
2016-12-18,West,13.96,26.26,34.91,12.48,3.0,0.34,52.83
