Country,Region,Date,AQI,Temperature,RelativeHumidity,WindSpeed
Singapore,North,2015-11-23,53.46,26.64,85.39,5.36
Singapore,North-East,2015-11-24,53.46,25.87,89.21,4.09
Singapore,West,2015-11-25,53.46,26.0,87.95,6.69
Singapore,Central,2015-11-26,53.46,25.21,90.91,7.58
Singapore,East,2015-11-27,53.46,25.22,90.0,6.21
Singapore,North,2015-11-28,53.46,26.08,89.16,6.16
Singapore,North-East,2015-11-29,53.46,25.77,89.5,5.11
Singapore,West,2015-11-30,53.46,26.19,86.3,5.3
Singapore,Central,2015-12-01,53.46,25.88,88.7,7.04
Singapore,East,2015-12-02,53.46,26.07,87.66,5.47
Singapore,North,2015-12-03,53.46,26.45,88.59,4.77
Singapore,North-East,2015-12-04,53.46,26.52,86.57,5.27
Singapore,West,2015-12-05,53.46,26.5,86.83,5.9
Singapore,Central,2015-12-06,53.46,26.18,88.69,10.17
Singapore,East,2015-12-07,53.46,26.56,86.29,9.11
Singapore,North,2015-12-08,53.46,26.06,89.04,4.17
Singapore,North-East,2015-12-09,53.46,26.64,86.65,6.44
Singapore,West,2015-12-10,53.46,26.47,87.4,6.55
Singapore,Central,2015-12-11,53.46,26.54,85.51,5.13
Singapore,East,2015-12-12,53.46,26.29,88.42,7.6
Singapore,North,2015-12-13,53.46,25.43,90.68,6.8
Singapore,North-East,2015-12-14,53.46,26.26,86.81,7.37
Singapore,West,2015-12-15,53.46,26.12,84.83,8.82
Singapore,Central,2015-12-16,53.46,26.18,83.66,9.77
Singapore,East,2015-12-17,53.46,25.74,87.83,12.37
Singapore,North,2015-12-18,53.46,26.03,85.02,13.3
Singapore,North-East,2015-12-19,53.46,26.32,81.73,11.15
Singapore,West,2015-12-20,53.46,26.68,78.98,8.83
Singapore,Central,2015-12-21,53.46,26.64,83.59,6.54
Singapore,East,2015-12-22,53.46,26.97,84.58,5.32
Singapore,North,2015-12-23,53.46,26.76,84.95,8.31
Singapore,North-East,2015-12-24,53.46,25.92,88.9,5.59
Singapore,West,2015-12-25,53.46,26.39,88.21,10.83
Singapore,Central,2015-12-26,53.46,26.74,83.3,12.31
Singapore,East,2015-12-27,53.46,26.18,86.81,12.05
Singapore,North,2015-12-28,53.46,25.89,87.2,11.93
